#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 01:03:52
2017-06-04 17:34:44 GET /Images/Intake-Forms-Button.jpg 24.23.200.103 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_1+like+Mac+OS+X)+AppleWebKit/603.1.30+(KHTML,+like+Gecko)+Version/10.0+Mobile/14E304+Safari/602.1 http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 4049
2017-06-04 17:34:44 GET /Images/Equipment-button.jpg 24.23.200.103 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_1+like+Mac+OS+X)+AppleWebKit/603.1.30+(KHTML,+like+Gecko)+Version/10.0+Mobile/14E304+Safari/602.1 http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 3786
2017-06-04 17:34:44 GET /Images/Links-Button.jpg 24.23.200.103 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_1+like+Mac+OS+X)+AppleWebKit/603.1.30+(KHTML,+like+Gecko)+Version/10.0+Mobile/14E304+Safari/602.1 http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 2773
2017-06-04 17:34:44 GET /Images/News-Button.jpg 24.23.200.103 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_1+like+Mac+OS+X)+AppleWebKit/603.1.30+(KHTML,+like+Gecko)+Version/10.0+Mobile/14E304+Safari/602.1 http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 2706
2017-06-04 17:34:46 GET /cssone.css 24.23.200.103 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_1+like+Mac+OS+X)+AppleWebKit/603.1.30+(KHTML,+like+Gecko)+Version/10.0+Mobile/14E304+Safari/602.1 http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 876
2017-06-04 17:34:46 GET /Images/Home-button-MO.jpg 24.23.200.103 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_1+like+Mac+OS+X)+AppleWebKit/603.1.30+(KHTML,+like+Gecko)+Version/10.0+Mobile/14E304+Safari/602.1 http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 2962
2017-06-04 17:34:46 GET /Images/News-Button-MO.jpg 24.23.200.103 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_1+like+Mac+OS+X)+AppleWebKit/603.1.30+(KHTML,+like+Gecko)+Version/10.0+Mobile/14E304+Safari/602.1 http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 2778
2017-06-04 17:34:46 GET /Images/Therapsits-button-MO.jpg 24.23.200.103 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_1+like+Mac+OS+X)+AppleWebKit/603.1.30+(KHTML,+like+Gecko)+Version/10.0+Mobile/14E304+Safari/602.1 http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 3705
2017-06-04 17:46:33 GET /robots.txt 107.23.248.228 HTTP/1.1 Mozilla/5.0+(compatible;+Cliqzbot/1.0;++http://cliqz.com/company/cliqzbot) - www.birdkernanddalmia.com 404 0 5469
2017-06-04 17:46:34 GET /marilynrbird.html 107.23.248.228 HTTP/1.1 Mozilla/5.0+(compatible;+Cliqzbot/1.0;++http://cliqz.com/company/cliqzbot) - www.birdkernanddalmia.com 200 0 7428
