#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-01 00:34:49
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-05-01 08:19:14 GET /marilynrbird.html 207.46.13.101 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - www.birdkernanddalmia.com 200 0 7428
2017-05-01 08:28:47 GET / 65.55.210.33 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+BingPreview/1.0b - www.birdkernanddalmia.com 200 0 6719
2017-05-01 08:28:47 GET /Images/Vision-Button.jpg 65.55.210.33 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+BingPreview/1.0b - www.birdkernanddalmia.com 200 0 2957
2017-05-01 08:28:47 GET /Images/Pricing-button.jpg 65.55.210.33 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+BingPreview/1.0b - www.birdkernanddalmia.com 200 0 1711
2017-05-01 08:28:47 GET /Images/News-Button.jpg 199.30.24.164 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+BingPreview/1.0b - www.birdkernanddalmia.com 200 0 2706
2017-05-01 08:28:47 GET /Images/contact-us-button.jpg 199.30.24.164 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+BingPreview/1.0b - www.birdkernanddalmia.com 200 0 3759
2017-05-01 08:29:00 GET /Images/Intake-Forms-Button-MO.jpg 65.55.210.33 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+BingPreview/1.0b - www.birdkernanddalmia.com 200 0 4229
2017-05-01 08:29:00 GET /Images/Contact-Us-Button-MO.jpg 65.55.210.72 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+BingPreview/1.0b - www.birdkernanddalmia.com 200 0 3901
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-01 09:19:44
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-05-01 09:19:44 GET / 173.234.15.162 HTTP/1.1 Dispatch/0.11.3 - birdkernanddalmia.com 200 0 6719
2017-05-01 09:20:27 GET /cssone.css 40.77.178.76 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+BingPreview/1.0b - www.birdkernanddalmia.com 200 0 876
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-01 09:36:23
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-05-01 09:36:23 GET /index.html 104.166.85.8 HTTP/1.1 - - birdkernanddalmia.com 200 0 6719
2017-05-01 09:36:23 GET /jakarta/isapi_redirect.dll 162.217.174.4 HTTP/1.0 Dispatch/0.11.3 - birdkernanddalmia.com 200 0 7435
2017-05-01 09:36:23 GET /jakarta/isapi_redirect.dll 170.75.146.108 HTTP/1.1 - - birdkernanddalmia.com 200 0 7784
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-01 09:53:35
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-05-01 09:53:34 GET /robots.txt 37.187.56.81 HTTP/1.0 - - www.birdkernanddalmia.com 404 0 5488
2017-05-01 09:53:34 GET / 37.187.56.81 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:21.0)+Gecko/20100101+Firefox/21.0 - www.birdkernanddalmia.com 206 0 6766
2017-05-01 09:53:37 GET /index.html 37.187.56.81 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:21.0)+Gecko/20100101+Firefox/21.0 - www.birdkernanddalmia.com 206 0 6766
2017-05-01 09:53:39 GET /vision.html 37.187.56.81 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:21.0)+Gecko/20100101+Firefox/21.0 - www.birdkernanddalmia.com 206 0 7783
2017-05-01 09:53:41 GET /jakarta/isapi_redirect.dll 37.187.56.81 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:21.0)+Gecko/20100101+Firefox/21.0 - www.birdkernanddalmia.com 200 0 9005
2017-05-01 09:53:44 GET /therapists.html 37.187.56.81 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:21.0)+Gecko/20100101+Firefox/21.0 - www.birdkernanddalmia.com 206 0 7346
2017-05-01 09:53:45 GET /therapyservices.html 37.187.56.81 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:21.0)+Gecko/20100101+Firefox/21.0 - www.birdkernanddalmia.com 206 0 6335
2017-05-01 09:53:48 GET /intakeforms.html 37.187.56.81 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:21.0)+Gecko/20100101+Firefox/21.0 - www.birdkernanddalmia.com 206 0 7531
2017-05-01 09:53:50 GET /jakarta/isapi_redirect.dll 37.187.56.81 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:21.0)+Gecko/20100101+Firefox/21.0 - www.birdkernanddalmia.com 200 0 7416
2017-05-01 09:53:52 GET /jakarta/isapi_redirect.dll 37.187.56.81 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:21.0)+Gecko/20100101+Firefox/21.0 - www.birdkernanddalmia.com 200 0 7784
2017-05-01 09:53:54 GET /jakarta/isapi_redirect.dll 37.187.56.81 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:21.0)+Gecko/20100101+Firefox/21.0 - www.birdkernanddalmia.com 200 0 7249
